ForecastID,Confirmed,Deaths
0,127415,2202
1,5299,37
2,202195,5059
3,61771,811
4,717025,13116
5,57657,1947
6,52978,4466
7,17506,606
8,625778,11283
9,272365,5698
10,8698,72
11,32394,365
12,238646,8245
13,95172,3305
14,65799,1124
15,43184,453
16,49076,939
17,148784,4970
18,4546,132
19,108862,3762
20,128770,9070
21,113557,6757
22,76639,1871
23,83537,2494
24,86814,1553
25,7492,107
26,34545,400
27,69690,1320
28,7294,432
29,192180,15940
30,25512,785
31,435320,32963
32,168967,2723
33,12048,143
34,124290,4158
35,59593,801
36,27001,463
37,139522,7662
38,22076,1048
39,119880,2743
40,13855,168
41,156431,1770
42,636438,12946
43,52445,409
44,1631,57
45,121594,2597
46,75183,1926
47,10374,217
48,76242,1125
49,3866,37
50,128553,2214
51,5338,38
52,202449,5086
53,62334,824
54,722658,13217
55,57858,1952
56,53050,4468
57,17551,606
58,628690,11380
59,274165,5735
60,8914,75
61,32669,372
62,240407,8263
63,96150,3323
64,66360,1133
65,43879,456
66,49633,945
67,149371,5001
68,4563,133
69,109437,3768
70,129044,9079
71,113959,6750
72,77332,1880
73,84341,2519
74,88081,1559
75,7560,107
76,34764,403
77,70219,1333
78,7315,433
79,192483,15951
80,25645,789
81,436092,32977
82,170592,2748
83,12279,144
84,125305,4172
85,60185,805
86,27284,468
87,140228,7671
88,22160,1048
89,120797,2777
90,14238,169
91,157974,1800
92,641221,13061
93,52866,411
94,1637,57
95,122477,2608
96,75603,1936
97,10498,222
98,76880,1131
99,3908,37
100,129849,2235
101,5367,38
102,203109,5119
103,62898,841
104,732163,13337
105,58248,1958
106,53220,4470
107,17650,612
108,631531,11487
109,276039,5787
110,9142,80
111,32934,375
112,242419,8273
113,97168,3331
114,66874,1138
115,44487,459
116,50217,952
117,149931,5030
118,4585,134
119,110046,3780
120,129338,9090
121,114877,6752
122,78099,1886
123,84915,2536
124,89355,1566
125,7637,108
126,34989,407
127,70687,1347
128,7332,434
129,192845,15952
130,25787,794
131,436790,32986
132,172106,2765
133,12499,145
134,126355,4188
135,60738,810
136,27524,473
137,140943,7683
138,22241,1049
139,121678,2802
140,14663,172
141,159305,1814
142,645631,13175
143,53211,416
144,1643,57
145,123303,2619
146,76151,1943
147,10619,226
148,77482,1137
149,3917,38
150,131154,2254
151,5401,38
152,203506,5167
153,63436,854
154,736433,13404
155,58524,1958
156,53300,4468
157,17719,612
158,633895,11612
159,277908,5858
160,9366,83
161,33214,379
162,244203,8289
163,98122,3335
164,67305,1145
