ForecastID,Confirmed,Deaths
0,125614,2175
1,5290,36
2,204362,5120
3,61358,777
4,724402,13171
5,57805,1951
6,52591,4469
7,17541,611
8,636700,11529
9,275620,5641
10,8324,58
11,32880,361
12,236067,8242
13,93808,3309
14,62356,1112
15,41880,453
16,48271,927
17,150680,5000
18,4484,132
19,108943,3761
20,128641,9054
21,112895,6737
22,75087,1873
23,83841,2482
24,84937,1532
25,7368,105
26,34148,396
27,70585,1332
28,7291,432
29,192163,15988
30,25554,779
31,434716,32989
32,166403,2727
33,11322,144
34,123224,4171
35,58555,801
36,26999,458
37,139224,7677
38,21909,1044
39,119291,2757
40,12543,169
41,155848,1754
42,644554,13321
43,52115,415
44,1613,58
45,120757,2574
46,75423,1946
47,10195,208
48,76168,1131
49,3862,37
50,126774,2193
51,5362,36
52,205194,5165
53,61937,788
54,731601,13299
55,58140,1955
56,52687,4470
57,17628,612
58,641578,11680
59,278392,5704
60,8540,59
61,33260,367
62,237924,8260
63,94711,3321
64,62952,1120
65,42371,457
66,48867,934
67,151658,5034
68,4503,133
69,109569,3770
70,128996,9069
71,113625,6746
72,75752,1880
73,84622,2508
74,86072,1541
75,7479,106
76,34405,398
77,71263,1349
78,7313,433
79,192496,15994
80,25704,783
81,435349,33000
82,167808,2752
83,11489,146
84,124248,4194
85,59248,810
86,27266,463
87,139936,7693
88,22004,1045
89,120195,2790
90,12675,170
91,157411,1778
92,651015,13531
93,52488,419
94,1620,58
95,121731,2587
96,76003,1958
97,10310,212
98,76896,1137
99,3899,37
100,127934,2212
101,5433,37
102,206026,5210
103,62516,799
104,738799,13427
105,58474,1960
106,52783,4472
107,17715,613
108,646455,11831
109,281164,5768
110,8756,60
111,33639,373
112,239780,8279
113,95613,3333
114,63548,1129
115,42862,460
116,49464,940
117,152635,5068
118,4523,133
119,110195,3778
120,129350,9084
121,114354,6756
122,76416,1888
123,85404,2535
124,87207,1550
125,7590,108
126,34661,401
127,71940,1366
128,7335,434
129,192829,15999
130,25855,787
131,435981,33010
132,169213,2777
133,11655,147
134,125273,4216
135,59941,819
136,27532,468
137,140649,7708
138,22098,1046
139,121100,2824
140,12807,172
141,158973,1802
142,657475,13742
143,52861,422
144,1626,58
145,122704,2599
146,76583,1970
147,10425,215
148,77625,1143
149,3936,38
150,129093,2230
151,5505,37
152,206858,5255
153,63096,809
154,745998,13555
155,58809,1964
156,52880,4473
157,17801,614
158,651332,11982
159,283936,5831
160,8972,61
161,34018,379
162,241637,8297
163,96516,3344
164,64145,1137
165,43353,463
166,50061,947
167,153613,5102
168,4542,133
