ForecastID,Confirmed,Deaths
0,270768,3888
1,37027,145
2,364308,6955
3,171145,2638
4,1361244,19899
5,261823,3406
6,130813,5178
7,39725,784
8,1059458,19166
9,503535,9833
10,18844,263
11,111180,1041
12,789854,14158
13,381968,6256
14,245510,2706
15,174255,1798
16,201411,2058
17,250411,6569
18,13385,232
19,215374,4848
20,256487,10982
21,434533,10438
22,350996,4018
23,165203,3969
24,329137,4284
25,67912,743
26,140588,1208
27,168394,2314
28,24814,561
29,367204,17348
30,108849,1768
31,706051,34960
32,392714,5537
33,83013,1017
34,476031,6969
35,215729,1884
36,84850,1042
37,426959,11349
38,63329,1419
39,231571,4538
40,86228,1116
41,402301,4919
42,1324473,23191
43,215929,950
44,5022,80
45,253950,4224
46,178393,2946
47,54744,841
48,442645,3987
49,36563,274
50,273892,3903
51,37790,147
52,369982,6995
53,172774,2656
54,1384990,19916
55,266494,3464
56,133224,5196
57,40370,786
58,1069455,19262
59,507771,9869
60,18950,265
61,112707,1057
62,799811,14297
63,388842,6318
64,247701,2740
65,177228,1835
66,204881,2084
67,252211,6589
68,13642,236
69,218012,4880
70,260911,11021
71,442960,10578
72,356693,4052
73,166947,3986
74,332887,4310
75,68880,750
76,142521,1243
77,171139,2329
78,25428,564
79,372579,17383
80,110810,1802
81,715956,35015
82,397115,5566
83,83554,1028
84,485639,7025
85,218623,1903
86,86347,1058
87,438462,11521
88,64657,1429
89,233840,4563
90,87168,1126
91,407057,4952
92,1337887,23307
93,219101,962
94,5148,82
95,256618,4242
96,180726,2982
97,55920,853
98,447457,4045
99,37049,282
100,277077,3941
101,38534,149
102,375731,7048
103,174578,2674
104,1407580,19963
105,271162,3548
106,134808,5221
107,41042,788
108,1079425,19359
109,511986,9925
110,19055,266
111,114229,1083
112,809884,14490
113,395737,6387
114,250126,2775
115,179190,1802
116,208317,2090
117,254566,6613
118,13901,241
119,220797,4909
120,265329,11062
121,450859,10715
122,362263,4092
123,168788,4008
124,336664,4389
125,69748,761
126,144465,1279
127,173878,2356
128,26021,569
129,377875,17415
130,112790,1839
131,725914,35073
132,401406,5596
133,84203,1050
134,495119,7106
135,221992,1924
136,87922,1081
137,449817,11724
138,65654,1437
139,236121,4589
140,88138,1131
141,411721,5008
142,1351349,23428
143,222246,973
144,5274,84
145,259321,4262
146,182930,3025
147,57129,869
148,452478,4117
149,37587,283
150,280300,3989
151,39277,151
152,381528,7114
153,176608,2693
154,1431462,20081
155,276026,3636
156,137000,5247
157,41715,791
158,1089443,19456
159,516168,9976
160,19163,266
161,115735,1109
162,819969,14710
163,402844,6470
164,252514,2827
165,181853,1890
166,211834,2127
167,256828,6642
168,14162,246
169,223649,4940
170,269783,11097
171,458121,10871
172,368002,4151
173,170675,4031
174,340721,4427
175,70630,773
176,146437,1304
177,176600,2386
178,26613,575
179,383173,17446
180,114758,1873
181,735773,35131
182,405933,5635
183,84883,1060
184,504820,7207
185,225187,1950
186,89523,1099
187,461190,11935
188,66646,1443
189,238453,4617
190,89102,1150
191,416409,5082
192,1364668,23583
193,225427,985
194,5400,86
195,262106,4280
196,184914,3065
197,58322,886
198,457556,4197
199,38061,295
200,283534,4038
201,40017,153
202,387268,7183
203,178744,2712
204,1454935,20229
205,280866,3698
206,139232,5266
207,42385,793
208,1099437,19557
209,520355,10011
210,19272,268
211,117243,1129
212,830042,14931
213,410038,6559
214,254858,2893
215,184371,1865
216,215319,2138
217,259067,6662
218,14422,250
219,226570,4970
220,274241,11130
221,466275,11019
222,373780,4228
223,172558,4050
224,344670,4428
225,71535,780
226,148409,1323
227,179320,2422
228,27208,581
229,388494,17483
230,116733,1906
231,745582,35189
232,410406,5678
233,85560,1064
234,514105,7313
235,228271,1974
236,91132,1113
237,472598,12144
238,67732,1452
239,240791,4644
240,90064,1185
241,421094,5156
242,1377914,23781
243,228601,996
244,5526,88
245,264893,4298
246,187120,3091
247,59513,897
248,462573,4290
249,38605,298
250,286759,4082
251,40757,155
252,393013,7241
253,180845,2732
254,1478810,20382
255,285705,3734
256,141224,5295
257,43052,795
258,1109436,19657
259,524541,10056
260,19381,272
261,118754,1139
262,840093,15135
263,417256,6649
264,257138,2952
265,186743,1950
266,218810,2177
267,261345,6687
268,14683,255
269,229454,5000
270,278699,11171
271,474347,11173
272,379554,4307
273,174422,4071
274,348593,4489
275,72428,789
276,150377,1344
277,182038,2452
278,27803,587
279,393799,17525
280,118704,1939
281,755397,35249
282,414897,5720
283,86197,1083
284,523668,7398
285,231418,1997
286,92728,1133
287,483984,12330
288,68810,1461
289,243126,4669
290,91021,1226
291,425796,5211
292,1391169,23996
293,231775,1008
294,5652,89
295,267669,4317
296,189347,3104
297,60709,911
298,467563,4374
299,39113,304
300,289978,4115
301,41497,157
302,398763,7283
303,182854,2752
304,1502279,20496
305,290484,3760
306,143306,5313
307,43720,797
308,1119431,19750
309,528726,10114
310,19489,276
311,120264,1143
312,850141,15306
313,424425,6736
314,259420,2991
315,189272,1958
316,222289,2186
317,263600,6704
318,14943,259
319,232319,5031
320,283156,11210
321,481994,11321
322,385270,4372
