Province_State,Date,Incident_Rate,People_Tested,People_Hospitalized,Confirmed
Alabama,436,75.98802021,21583.0,437.0,3563
Alaska,436,45.50404936,8038.0,31.0,272
Arizona,436,48.66242224,42109.0,6250.044184664157,3542
Arkansas,436,49.43942261,19722.0,130.0,1280
California,436,58.13772584,190328.0,5234.0,22795
Colorado,436,128.943729,34873.0,1376.0,7307
Connecticut,436,337.5604825000001,41220.0,1654.0,12035
Delaware,436,166.8782169,11103.0,190.0,1625
Florida,436,93.70022691,182753.0,2772.0,19895
Georgia,436,122.8081405,54453.0,2505.0,12452
Hawaii,436,35.24543964,17968.0,44.0,499
Idaho,436,87.36433536,14308.0,131.0,1407
Illinois,436,177.68078180000003,100735.0,3680.0,20852
Indiana,436,121.1492553,42489.0,6250.044184664157,7928
Iowa,436,60.55603952,17592.0,129.0,1587
Kansas,436,55.11612114,13253.0,298.0,1344
Kentucky,436,57.34228025,24567.0,459.0,1963
Louisiana,436,447.9836494,104045.0,2084.0,20595
Maine,436,53.91795272,6721.0,120.0,633
Maryland,436,138.3903145,49764.0,1860.0,8225
Massachusetts,436,371.1516059,116730.0,2235.0,25475
Michigan,436,304.2953668,79437.0,3636.0,24244
Minnesota,436,32.77100367,37421.0,361.0,1621
Mississippi,436,96.05534114,21413.0,548.0,2781
Missouri,436,72.85659283,45200.0,988.0,4269
Montana,436,44.68889256,8913.0,47.0,387
Nebraska,436,51.85960275,10691.0,6250.044184664157,791
Nevada,436,94.01010443,24611.0,282.0,2836
New Hampshire,436,69.94702398,10925.0,146.0,929
New Jersey,436,696.3372772000001,126735.0,7604.0,61850
New Mexico,436,74.66119111,28692.0,78.0,1245
New York,436,1121.124012,461601.0,42594.0,189033
North Carolina,436,46.07841902,62139.0,331.0,4570
North Dakota,436,50.79004911,10350.0,39.0,308
Ohio,436,59.10222609,63243.0,1948.0,6604
Oklahoma,436,53.85995428,22760.0,446.0,1970
Oregon,436,38.10760670000001,29758.0,359.0,1527
Pennsylvania,436,182.2284446,124890.0,2097.0,22938
Rhode Island,436,251.56674640000003,20350.0,201.0,2665
South Carolina,436,65.87334263,31425.0,496.0,3320
South Dakota,436,99.19933903,8553.0,43.0,730
Tennessee,436,83.90037425,70677.0,567.0,5508
Texas,436,59.50516088,124533.0,1338.0,13677
Utah,436,80.3592053,44234.0,195.0,2303
Vermont,436,119.0649715,9841.0,34.0,727
Virginia,436,66.69845192,39985.0,751.0,5274
Washington,436,140.5276682,93615.0,642.0,10609
West Virginia,436,44.82244115,16257.0,81.0,593
Wisconsin,436,64.56573888,39257.0,974.0,3341
Wyoming,436,54.29973453,5459.0,40.0,270
Alabama,439,79.63493333293523,29182.0,457.0,3734
Alaska,439,46.34052085407085,7830.0,32.0,277
Arizona,439,50.90182789082197,43347.0,525.0,3705
Arkansas,439,54.46061396810462,20804.0,130.0,1410
California,439,61.035047905282056,190882.0,3015.0,23931
Colorado,439,135.7200246417166,37534.0,1472.0,7691
Connecticut,439,375.31340394195473,44309.0,1760.0,13381
Delaware,439,180.53655711240086,11820.0,201.0,1758
Florida,439,579.3871934514303,196207.0,2833.0,21019
Georgia,439,131.31949811985785,57021.0,2589.0,13315
Hawaii,439,35.59860035344325,18844.0,44.0,504
Idaho,439,88.54409539415472,14881.0,132.0,1426
Illinois,439,187.6759648568341,105768.0,3680.0,22025
Indiana,439,127.7354471902022,44539.0,6250.044184664157,8359
Iowa,439,65.249418765046,18696.0,142.0,1710
Kansas,439,57.00253599771662,13864.0,309.0,1390
Kentucky,439,58.948915710937655,25866.0,667.0,2018
Louisiana,439,457.1412661351334,108091.0,2134.0,21016
Maine,439,59.454551339601316,12306.0,124.0,698
Maryland,439,150.3532949093396,51751.0,1975.0,8936
Massachusetts,439,391.4319997808785,122049.0,2340.0,26867
Michigan,439,321.7543197729608,82644.0,3986.0,25635
