ForecastID,Confirmed,Deaths
0,272229,3892
1,37539,146
2,365843,6950
3,172042,2713
4,1390828,20015
5,264618,3358
6,135844,5224
7,40711,793
8,1065785,19282
9,506690,9851
10,18923,262
11,111893,1055
12,796264,14214
13,387278,6284
14,245984,2723
15,176871,1856
16,202591,2082
17,252136,6607
18,13775,227
19,217329,4865
20,259325,11035
21,436400,10422
22,356152,4064
23,166194,3961
24,332227,4289
25,68591,742
26,141127,1236
27,170587,2319
28,25816,566
29,371579,17336
30,109947,1756
31,713129,35034
32,399362,5560
33,83342,1028
34,484297,7022
35,218389,1911
36,85788,1045
37,432207,11319
38,65818,1448
39,234652,4579
40,86500,1110
41,408730,5009
42,1393796,23236
43,217638,949
44,5080,81
45,258870,4208
46,184404,2941
47,56128,841
48,443389,3973
49,36985,289
50,276665,3942
51,38116,146
52,378157,6973
53,174325,2752
54,1415396,20205
55,268589,3372
56,138258,5242
57,41464,803
58,1073770,19378
59,512267,9873
60,18976,262
61,113905,1074
62,804174,14384
63,392663,6410
64,247954,2724
65,177312,1856
66,205667,2102
67,254562,6652
68,14049,239
69,219961,4916
70,263447,11076
71,443076,10625
72,359203,4086
73,167926,4017
74,335556,4430
75,69346,763
76,142595,1271
77,173284,2359
78,26623,566
79,377055,17426
80,109947,1756
81,722464,35118
82,404032,5605
83,83342,1028
84,510018,7103
85,220686,1922
86,87082,1080
87,442311,11521
88,67067,1470
89,236954,4585
90,87038,1111
91,414749,5109
92,1412589,23406
93,219971,972
94,5180,85
95,262730,4260
96,187327,2967
97,57060,870
98,448009,4054
99,37475,289
100,280187,3985
101,38707,150
102,382601,7081
103,176652,2786
104,1448987,20411
105,272346,3639
106,140548,5285
107,42393,803
108,1083362,19462
109,517779,9921
110,19056,266
111,116203,1103
112,812430,14612
113,398417,6506
114,250280,2724
115,182581,1941
116,209135,2118
117,258914,6684
118,14454,246
119,222653,4962
120,269412,11166
121,448418,10706
122,363719,4168
123,170672,4041
124,338336,4470
125,70133,771
126,143924,1294
127,176334,2384
128,27592,570
129,381486,17542
130,112950,1823
131,733064,35183
132,410527,5661
133,86149,1086
134,520112,7187
135,222993,1945
136,88287,1110
137,450924,11726
138,68299,1484
139,239444,4612
140,88023,1147
141,422962,5171
142,1427441,23672
143,222545,995
144,5285,86
145,267128,4281
146,189863,3016
147,58462,901
148,452180,4142
149,37885,299
150,284922,4034
151,39345,155
152,387529,7154
153,178854,2820
154,1482551,20603
155,276995,3759
156,142979,5327
157,43036,806
158,1094697,19591
159,525402,9975
160,19179,268
161,118028,1136
162,823531,14844
163,404935,6603
164,252553,2724
165,182845,1941
166,213449,2146
167,261329,6724
168,14861,246
169,225855,5012
170,274781,11209
171,454720,10900
172,367218,4257
173,172955,4083
174,342418,4544
175,70892,781
176,145774,1329
177,178527,2434
178,28273,584
179,386606,17608
180,114731,1846
181,743242,35266
182,416083,5714
183,86707,1109
184,531850,7298
185,225453,1980
186,89838,1123
187,462954,11961
188,69247,1498
189,241686,4627
190,88727,1177
191,428973,5240
192,1443353,23883
193,225946,1016
194,5413,89
195,271043,4335
196,192413,2850
197,59695,921
198,456889,4209
199,38223,299
200,288775,4086
201,39975,158
202,394512,7245
203,181624,2875
204,1516215,20787
205,281673,3846
206,146761,5363
207,43818,807
208,1106396,19714
209,531593,10031
210,19315,269
211,119610,1151
212,832951,15067
213,412135,6673
214,253612,3193
215,188318,2072
216,217119,2168
217,264191,6767
218,15206,250
219,228471,5064
220,280436,11257
221,460346,10965
222,370968,4351
223,175282,4124
224,343412,4551
225,71870,805
226,146877,1343
227,181310,2479
228,29460,590
229,390256,17662
230,116565,1889
231,753837,35357
232,423623,5752
233,87214,1130
234,542209,7426
235,229353,2007
236,91420,1138
237,476249,12183
238,70818,1509
239,245226,4673
240,89672,1210
241,436262,5327
242,1459415,24120
243,228129,1025
244,5541,93
245,274438,4370
246,195554,2879
247,60637,938
248,461367,4266
249,38785,321
250,292841,4102
251,40497,176
252,402589,7322
253,184252,2911
254,1549176,20958
255,285634,3871
256,146761,5363
257,44876,815
258,1116973,19785
259,538040,10075
260,19511,271
261,120632,1169
262,841688,15231
263,419536,6758
264,255009,3208
265,188460,2072
266,220659,2192
267,264191,6767
268,15620,257
269,232009,5100
270,285725,11307
271,465159,11195
272,375398,4418
273,177947,4180
274,350388,4602
275,72644,816
276,147688,1365
277,183949,2520
278,30244,600
279,396496,17732
280,118358,1913
281,764966,35441
282,429776,5796
283,87590,1152
284,553461,7477
285,233336,2042
286,92839,1150
287,485330,12371
288,70818,1509
289,248798,4685
290,90407,1243
291,442953,5400
292,1472853,24308
293,231821,1038
294,5626,95
295,278615,4409
296,199735,2879
297,62151,966
298,465991,4324
299,38907,321
300,295631,4102
301,41143,176
302,408442,7357
303,185702,2945
304,1585378,21040
305,288193,3958
306,146761,5363
307,45460,816
308,1125931,19866
309,542838,10076
310,19588,274
311,121179,1175
312,848904,15339
313,425434,6805
314,256249,3209
315,188460,2072
316,223103,2207
317,268613,6818
318,15923,257
319,234647,5117
320,290578,11349
321,465159,11195
322,378823,4503
323,179447,4199
324,353178,4609
325,73303,818
326,148861,1373
327,186833,2539
328,30956,603
329,400650,17751
330,119800,1957
331,775160,35557
332,436595,5823
333,87871,1152
334,562727,7492
335,237668,2064
336,93853,1155
337,495099,12490
338,70818,1509
339,252206,4739
340,91038,1259
341,454305,5462
342,1481899,24400
343,233904,1055
344,5753,95
345,281909,4411
346,202063,2879
347,63217,968
348,468956,4339
349,39360,321
